,OP,TABLE,SAVE,CAT,NAME,TYPE,START,STOP,DEFAULT
25,PERLND,PRINT-INFO,GENERAL,SKIP,TRACPR,I,65,70,4
26,PERLND,PRINT-INFO,GENERAL,SKIP,PIVL,I,70,75,1
27,PERLND,PRINT-INFO,GENERAL,SKIP,PYREND,I,75,80,9
28,PERLND,BINARY-INFO,GENERAL,BINOUT,OPNID,C,0,10,None
29,PERLND,BINARY-INFO,GENERAL,BINOUT,ATEMP,I,10,15,4
30,PERLND,BINARY-INFO,GENERAL,BINOUT,SNOW,I,15,20,4
31,PERLND,BINARY-INFO,GENERAL,BINOUT,PWATER,I,20,25,4
32,PERLND,BINARY-INFO,GENERAL,BINOUT,SEDMNT,I,25,30,4
33,PERLND,BINARY-INFO,GENERAL,BINOUT,PSTEMP,I,30,35,4
34,PERLND,BINARY-INFO,GENERAL,BINOUT,PWTGAS,I,35,40,4
35,PERLND,BINARY-INFO,GENERAL,BINOUT,PQUAL,I,40,45,4
36,PERLND,BINARY-INFO,GENERAL,BINOUT,MSTLAY,I,45,50,4
37,PERLND,BINARY-INFO,GENERAL,BINOUT,PEST,I,50,55,4
38,PERLND,BINARY-INFO,GENERAL,BINOUT,NITR,I,55,60,4
39,PERLND,BINARY-INFO,GENERAL,BINOUT,PHOS,I,60,65,4
40,PERLND,BINARY-INFO,GENERAL,BINOUT,TRACER,I,65,70,4
41,PERLND,BINARY-INFO,GENERAL,BINOUT,PIVL,I,70,75,1
42,PERLND,BINARY-INFO,GENERAL,BINOUT,PYREND,I,75,80,9
43,PERLND,GEN-INFO,GENERAL,INFO,OPNID,C,0,10,None
44,PERLND,GEN-INFO,GENERAL,INFO,LSID,C,10,30,None
45,PERLND,GEN-INFO,GENERAL,INFO,IUNITS,I,40,45,1
46,PERLND,GEN-INFO,GENERAL,INFO,OUNITS,I,45,50,1
47,PERLND,GEN-INFO,GENERAL,INFO,PUNIT1,I,50,55,0
48,PERLND,GEN-INFO,GENERAL,INFO,PUNIT2,I,55,60,0
49,PERLND,GEN-INFO,GENERAL,INFO,BUNIT1,I,60,65,0
50,PERLND,GEN-INFO,GENERAL,INFO,BUNIT2,I,65,70,0
51,PERLND,ATEMP-DAT,ATEMP,PARAMETERS,OPNID,C,0,10,None
52,PERLND,ATEMP-DAT,ATEMP,PARAMETERS,ELDAT,R,10,20,0
53,PERLND,ATEMP-DAT,ATEMP,PARAMETERS,AIRTMP,R,20,30,60
54,PERLND,ICE-FLAG,SNOW,FLAGS,OPNID,C,0,10,None
55,PERLND,ICE-FLAG,SNOW,FLAGS,ICEFG,I,10,15,0
56,PERLND,SNOW-FLAGS,SNOW,FLAGS,OPNID,C,0,10,None
57,PERLND,SNOW-FLAGS,SNOW,FLAGS,SNOPFG,I,10,15,0
58,PERLND,SNOW-FLAGS,SNOW,FLAGS,VKMFG,I,15,20,0
59,PERLND,SNOW-PARM1,SNOW,PARAMETERS,OPNID,C,0,10,None
60,PERLND,SNOW-PARM1,SNOW,PARAMETERS,LAT,R,10,20,40
61,PERLND,SNOW-PARM1,SNOW,PARAMETERS,MELEV,R,20,30,0
62,PERLND,SNOW-PARM1,SNOW,PARAMETERS,SHADE,R,30,40,0
63,PERLND,SNOW-PARM1,SNOW,PARAMETERS,SNOWCF,R,40,50,-999
64,PERLND,SNOW-PARM1,SNOW,PARAMETERS,COVIND,R,50,60,-999
65,PERLND,SNOW-PARM1,SNOW,PARAMETERS,KMELT,R,60,70,0
66,PERLND,SNOW-PARM1,SNOW,PARAMETERS,TBASE,R,70,80,32
67,PERLND,SNOW-PARM2,SNOW,PARAMETERS,OPNID,C,0,10,None
68,PERLND,SNOW-PARM2,SNOW,PARAMETERS,RDCSN,R,10,20,0.15
69,PERLND,SNOW-PARM2,SNOW,PARAMETERS,TSNOW,R,20,30,32
70,PERLND,SNOW-PARM2,SNOW,PARAMETERS,SNOEVP,R,30,40,0.1
71,PERLND,SNOW-PARM2,SNOW,PARAMETERS,CCFACT,R,40,50,1
72,PERLND,SNOW-PARM2,SNOW,PARAMETERS,MWATER,R,50,60,0.03
73,PERLND,SNOW-PARM2,SNOW,PARAMETERS,MGMELT,R,60,70,0.01
74,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,OPNID,C,0,10,None
75,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMJAN,R,10,15,0
76,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMFEB,R,15,20,0
77,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMMAR,R,20,25,0
78,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMAPR,R,25,30,0
79,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMMAY,R,30,35,0
80,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMJUN,R,35,40,0
81,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMJUL,R,40,45,0
82,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMAUG,R,45,50,0
83,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMSEP,R,50,55,0
84,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMOCT,R,55,60,0
85,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMNOV,R,60,65,0
86,PERLND,MON-MELT-FAC,SNOW,MONTHLYS,KMDEC,R,65,70,0
87,PERLND,SNOW-INIT1,SNOW,STATES,OPNID,C,0,10,None
88,PERLND,SNOW-INIT1,SNOW,STATES,PKSNOW,R,10,20,0
89,PERLND,SNOW-INIT1,SNOW,STATES,PKICE,R,20,30,0
90,PERLND,SNOW-INIT1,SNOW,STATES,PKWATR,R,30,40,0
91,PERLND,SNOW-INIT1,SNOW,STATES,RDENPF,R,40,50,0.2
92,PERLND,SNOW-INIT1,SNOW,STATES,DULL,R,50,60,400
93,PERLND,SNOW-INIT1,SNOW,STATES,PAKTMP,R,60,70,32
94,PERLND,SNOW-INIT2,SNOW,STATES,OPNID,C,0,10,None
95,PERLND,SNOW-INIT2,SNOW,STATES,COVINX,R,10,20,0.01
96,PERLND,SNOW-INIT2,SNOW,STATES,XLNMLT,R,20,30,0
97,PERLND,SNOW-INIT2,SNOW,STATES,SKYCLR,R,30,40,1
98,PERLND,PWAT-PARM1,PWATER,PARAMETERS,OPNID,C,0,10,None
99,PERLND,PWAT-PARM1,PWATER,PARAMETERS,CSNOFG,I,10,15,0
100,PERLND,PWAT-PARM1,PWATER,PARAMETERS,RTOPFG,I,15,20,0
101,PERLND,PWAT-PARM1,PWATER,PARAMETERS,UZFG,I,20,25,0
102,PERLND,PWAT-PARM1,PWATER,PARAMETERS,VCSFG,I,25,30,0
103,PERLND,PWAT-PARM1,PWATER,PARAMETERS,VUZFG,I,30,35,0
104,PERLND,PWAT-PARM1,PWATER,PARAMETERS,VNNFG,I,35,40,0
105,PERLND,PWAT-PARM1,PWATER,PARAMETERS,VIFWFG,I,40,45,0
106,PERLND,PWAT-PARM1,PWATER,PARAMETERS,VIRCFG,I,45,50,0
107,PERLND,PWAT-PARM1,PWATER,PARAMETERS,VLEFG,I,50,55,0
108,PERLND,PWAT-PARM1,PWATER,PARAMETERS,IFFCFG,I,55,60,1
109,PERLND,PWAT-PARM1,PWATER,PARAMETERS,HWTFG,I,60,65,0
110,PERLND,PWAT-PARM1,PWATER,PARAMETERS,IRRGFG,I,65,70,0
111,PERLND,PWAT-PARM1,PWATER,PARAMETERS,IFRDFG,I,70,75,0
112,PERLND,PWAT-PARM1,PWATER,PARAMETERS,NCANPY,I,76,80,0
113,PERLND,PWAT-PARM2,PWATER,PARAMETERS,OPNID,C,0,10,None
114,PERLND,PWAT-PARM2,PWATER,PARAMETERS,FOREST,R,10,20,0
115,PERLND,PWAT-PARM2,PWATER,PARAMETERS,LZSN,R,20,30,-999
116,PERLND,PWAT-PARM2,PWATER,PARAMETERS,INFILT,R,30,40,-999
117,PERLND,PWAT-PARM2,PWATER,PARAMETERS,LSUR,R,40,50,-999
118,PERLND,PWAT-PARM2,PWATER,PARAMETERS,SLSUR,R,50,60,-999
119,PERLND,PWAT-PARM2,PWATER,PARAMETERS,KVARY,R,60,70,0
120,PERLND,PWAT-PARM2,PWATER,PARAMETERS,AGWRC,R,70,80,-999
121,PERLND,PWAT-PARM3,PWATER,PARAMETERS,OPNID,C,0,10,None
122,PERLND,PWAT-PARM3,PWATER,PARAMETERS,PETMAX,R,10,20,40
123,PERLND,PWAT-PARM3,PWATER,PARAMETERS,PETMIN,R,20,30,35
124,PERLND,PWAT-PARM3,PWATER,PARAMETERS,INFEXP,R,30,40,2
125,PERLND,PWAT-PARM3,PWATER,PARAMETERS,INFILD,R,40,50,2
126,PERLND,PWAT-PARM3,PWATER,PARAMETERS,DEEPFR,R,50,60,0
127,PERLND,PWAT-PARM3,PWATER,PARAMETERS,BASETP,R,60,70,0
128,PERLND,PWAT-PARM3,PWATER,PARAMETERS,AGWETP,R,70,80,0
129,PERLND,PWAT-PARM4,PWATER,PARAMETERS,OPNID,C,0,10,None
130,PERLND,PWAT-PARM4,PWATER,PARAMETERS,CEPSC,R,10,20,0
131,PERLND,PWAT-PARM4,PWATER,PARAMETERS,UZSN,R,20,30,-999
132,PERLND,PWAT-PARM4,PWATER,PARAMETERS,NSUR,R,30,40,0.1
133,PERLND,PWAT-PARM4,PWATER,PARAMETERS,INTFW,R,40,50,-999
134,PERLND,PWAT-PARM4,PWATER,PARAMETERS,IRC,R,50,60,-999
135,PERLND,PWAT-PARM4,PWATER,PARAMETERS,LZETP,R,60,70,0
136,PERLND,PWAT-PARM5,PWATER,PARAMETERS,OPNID,C,0,10,None
137,PERLND,PWAT-PARM5,PWATER,PARAMETERS,FZG,R,10,20,1
138,PERLND,PWAT-PARM5,PWATER,PARAMETERS,FZGL,R,20,30,0.1
139,PERLND,PWAT-PARM6,PWATER,PARAMETERS,OPNID,C,0,10,None
140,PERLND,PWAT-PARM6,PWATER,PARAMETERS,MELEV,R,10,20,0
141,PERLND,PWAT-PARM6,PWATER,PARAMETERS,BELV,R,20,30,-999
142,PERLND,PWAT-PARM6,PWATER,PARAMETERS,GWDATM,R,30,40,-999
143,PERLND,PWAT-PARM6,PWATER,PARAMETERS,PCW,R,40,50,-999
144,PERLND,PWAT-PARM6,PWATER,PARAMETERS,PGW,R,50,60,-999
145,PERLND,PWAT-PARM6,PWATER,PARAMETERS,UPGW,R,60,70,-999
146,PERLND,PWAT-PARM7,PWATER,PARAMETERS,OPNID,C,0,10,None
147,PERLND,PWAT-PARM7,PWATER,PARAMETERS,STABNO,R,10,20,0
148,PERLND,PWAT-PARM7,PWATER,PARAMETERS,SRRC,R,20,30,-999
149,PERLND,PWAT-PARM7,PWATER,PARAMETERS,SREXP,R,30,40,1
150,PERLND,PWAT-PARM7,PWATER,PARAMETERS,IFWSC,R,40,50,-999
151,PERLND,PWAT-PARM7,PWATER,PARAMETERS,DELTA,R,50,60,0.001
152,PERLND,PWAT-PARM7,PWATER,PARAMETERS,UELFAC,R,60,70,4
153,PERLND,PWAT-PARM7,PWATER,PARAMETERS,LELFAC,R,70,80,2.5
154,PERLND,PWAT-STATE1,PWATER,STATES,OPNID,C,0,10,None
155,PERLND,PWAT-STATE1,PWATER,STATES,CEPS,R,10,20,0
156,PERLND,PWAT-STATE1,PWATER,STATES,SURS,R,20,30,0
157,PERLND,PWAT-STATE1,PWATER,STATES,UZS,R,30,40,0.001
158,PERLND,PWAT-STATE1,PWATER,STATES,IFWS,R,40,50,0
159,PERLND,PWAT-STATE1,PWATER,STATES,LZS,R,50,60,0.001
160,PERLND,PWAT-STATE1,PWATER,STATES,AGWS,R,60,70,0
161,PERLND,PWAT-STATE1,PWATER,STATES,GWVS,R,70,80,0
162,PERLND,MON-INTERCEP,PWATER,MONTHLYS,OPNID,C,0,10,None
163,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTJAN,R,10,15,0
164,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTFEB,R,15,20,0
165,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTMAR,R,20,25,0
166,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTAPR,R,25,30,0
167,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTMAY,R,30,35,0
168,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTJUN,R,35,40,0
169,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTJUL,R,40,45,0
170,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTAUG,R,45,50,0
171,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTSEP,R,50,55,0
172,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTOCT,R,55,60,0
173,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTNOV,R,60,65,0
174,PERLND,MON-INTERCEP,PWATER,MONTHLYS,INTDEC,R,65,70,0
175,PERLND,MON-UZSN,PWATER,MONTHLYS,OPNID,C,0,10,None
176,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSJAN,R,10,15,-999
177,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSFEB,R,15,20,-999
178,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSMAR,R,20,25,-999
179,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSAPR,R,25,30,-999
180,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSMAY,R,30,35,-999
181,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSJUN,R,35,40,-999
182,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSJUL,R,40,45,-999
183,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSAUG,R,45,50,-999
184,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSSEP,R,50,55,-999
185,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSOCT,R,55,60,-999
186,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSNOV,R,60,65,-999
187,PERLND,MON-UZSN,PWATER,MONTHLYS,UZSDEC,R,65,70,-999
188,PERLND,MON-MANNING,PWATER,MONTHLYS,OPNID,C,0,10,None
189,PERLND,MON-MANNING,PWATER,MONTHLYS,MANJAN,R,10,15,0.1
190,PERLND,MON-MANNING,PWATER,MONTHLYS,MANFEB,R,15,20,0.1
191,PERLND,MON-MANNING,PWATER,MONTHLYS,MANMAR,R,20,25,0.1
192,PERLND,MON-MANNING,PWATER,MONTHLYS,MANAPR,R,25,30,0.1
193,PERLND,MON-MANNING,PWATER,MONTHLYS,MANMAY,R,30,35,0.1
194,PERLND,MON-MANNING,PWATER,MONTHLYS,MANJUN,R,35,40,0.1
195,PERLND,MON-MANNING,PWATER,MONTHLYS,MANJUL,R,40,45,0.1
196,PERLND,MON-MANNING,PWATER,MONTHLYS,MANAUG,R,45,50,0.1
197,PERLND,MON-MANNING,PWATER,MONTHLYS,MANSEP,R,50,55,0.1
198,PERLND,MON-MANNING,PWATER,MONTHLYS,MANOCT,R,55,60,0.1
199,PERLND,MON-MANNING,PWATER,MONTHLYS,MANNOV,R,60,65,0.1
200,PERLND,MON-MANNING,PWATER,MONTHLYS,MANDEC,R,65,70,0.1
201,PERLND,MON-INTERFLW,PWATER,MONTHLYS,OPNID,C,0,10,None
202,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLJAN,R,10,15,-999
203,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLFEB,R,15,20,-999
204,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLMAR,R,20,25,-999
205,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLAPR,R,25,30,-999
206,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLMAY,R,30,35,-999
207,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLJUN,R,35,40,-999
208,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLJUL,R,40,45,-999
209,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLAUG,R,45,50,-999
210,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLSEP,R,50,55,-999
211,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLOCT,R,55,60,-999
212,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLNOV,R,60,65,-999
213,PERLND,MON-INTERFLW,PWATER,MONTHLYS,IFLDEC,R,65,70,-999
214,PERLND,MON-IRC,PWATER,MONTHLYS,OPNID,C,0,10,None
215,PERLND,MON-IRC,PWATER,MONTHLYS,IRCJAN,R,10,15,-999
216,PERLND,MON-IRC,PWATER,MONTHLYS,IRCFEB,R,15,20,-999
217,PERLND,MON-IRC,PWATER,MONTHLYS,IRCMAR,R,20,25,-999
218,PERLND,MON-IRC,PWATER,MONTHLYS,IRCAPR,R,25,30,-999
219,PERLND,MON-IRC,PWATER,MONTHLYS,IRCMAY,R,30,35,-999
220,PERLND,MON-IRC,PWATER,MONTHLYS,IRCJUN,R,35,40,-999
221,PERLND,MON-IRC,PWATER,MONTHLYS,IRCJUL,R,40,45,-999
222,PERLND,MON-IRC,PWATER,MONTHLYS,IRCAUG,R,45,50,-999
223,PERLND,MON-IRC,PWATER,MONTHLYS,IRCSEP,R,50,55,-999
224,PERLND,MON-IRC,PWATER,MONTHLYS,IRCOCT,R,55,60,-999
225,PERLND,MON-IRC,PWATER,MONTHLYS,IRCNOV,R,60,65,-999
226,PERLND,MON-IRC,PWATER,MONTHLYS,IRCDEC,R,65,70,-999
227,PERLND,MON-LZETPARM,PWATER,MONTHLYS,OPNID,C,0,10,None
228,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEJAN,R,10,15,0
229,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEFEB,R,15,20,0
230,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEMAR,R,20,25,0
231,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEAPR,R,25,30,0
232,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEMAY,R,30,35,0
233,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEJUN,R,35,40,0
234,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEJUL,R,40,45,0
235,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEAUG,R,45,50,0
236,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZESEP,R,50,55,0
237,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEOCT,R,55,60,0
238,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZENOV,R,60,65,0
239,PERLND,MON-LZETPARM,PWATER,MONTHLYS,LZEDEC,R,65,70,0
240,PERLND,SOIL-DATA,PWATER,PEST,OPNID,C,0,10,None
241,PERLND,SOIL-DATA,PWATER,PEST,DSURF,R,10,18,-999
242,PERLND,SOIL-DATA,PWATER,PEST,DUPPER,R,18,26,-999
243,PERLND,SOIL-DATA,PWATER,PEST,DLOWER,R,26,34,-999
244,PERLND,SOIL-DATA,PWATER,PEST,DGRNDW,R,34,42,-999
245,PERLND,SOIL-DATA,PWATER,PEST,BDSURF,R,42,50,103
246,PERLND,SOIL-DATA,PWATER,PEST,BDUPPR,R,50,58,103
247,PERLND,SOIL-DATA,PWATER,PEST,BDLOWR,R,58,66,103
248,PERLND,SOIL-DATA,PWATER,PEST,BDGRDW,R,66,74,103
249,PERLND,SOIL-DATA2,PWATER,PARAMETERS,OPNID,C,0,10,None
250,PERLND,SOIL-DATA2,PWATER,PARAMETERS,SWILTP,R,10,20,0
251,PERLND,SOIL-DATA2,PWATER,PARAMETERS,UWILTP,R,20,30,0
252,PERLND,SOIL-DATA2,PWATER,PARAMETERS,LWILTP,R,30,40,0
253,PERLND,SOIL-DATA2,PWATER,PARAMETERS,AWILTP,R,40,50,0
254,PERLND,SOIL-DATA3,PWATER,PARAMETERS,OPNID,C,0,10,0
255,PERLND,SOIL-DATA3,PWATER,PARAMETERS,SFDCAP,R,10,20,0
256,PERLND,SOIL-DATA3,PWATER,PARAMETERS,UFDCAP,R,20,30,0
257,PERLND,SOIL-DATA3,PWATER,PARAMETERS,LFDCAP,R,30,40,0
258,PERLND,SOIL-DATA3,PWATER,PARAMETERS,AFDCAP,R,40,50,0
259,PERLND,CROP-DATES,PWATER,PARAMETERS,OPNID,C,0,10,None
260,PERLND,CROP-DATES,PWATER,PARAMETERS,NCRP,I,10,15,1
261,PERLND,CROP-DATES,PWATER,PARAMETERS,PMON1,I,19,22,1
262,PERLND,CROP-DATES,PWATER,PARAMETERS,PDAY1,I,22,25,1
263,PERLND,CROP-DATES,PWATER,PARAMETERS,HMON1,I,27,30,1
264,PERLND,CROP-DATES,PWATER,PARAMETERS,HDAY1,I,30,33,1
265,PERLND,CROP-DATES,PWATER,PARAMETERS,PMON2,I,37,40,1
266,PERLND,CROP-DATES,PWATER,PARAMETERS,PDAY2,I,40,43,1
267,PERLND,CROP-DATES,PWATER,PARAMETERS,HMON2,I,45,48,1
268,PERLND,CROP-DATES,PWATER,PARAMETERS,HDAY2,I,48,51,1
269,PERLND,CROP-DATES,PWATER,PARAMETERS,PMON3,I,55,58,1
270,PERLND,CROP-DATES,PWATER,PARAMETERS,PDAY3,I,58,61,1
271,PERLND,CROP-DATES,PWATER,PARAMETERS,HMON3,I,63,66,1
272,PERLND,CROP-DATES,PWATER,PARAMETERS,HDAY3,I,66,69,1
273,PERLND,CROP-STAGES,PWATER,CROP_STAGES,OPNID,C,0,10,None
274,PERLND,CROP-STAGES,PWATER,CROP_STAGES,CRPST1,R,10,20,0
275,PERLND,CROP-STAGES,PWATER,CROP_STAGES,CRPST2,R,20,30,0
276,PERLND,CROP-STAGES,PWATER,CROP_STAGES,CRPST3,R,30,40,0
277,PERLND,CROP-STAGES,PWATER,CROP_STAGES,CRPST4,R,40,50,0
278,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,OPNID,C,0,10,None
279,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,CRAWD1,R,10,20,0
280,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,CRAWD2,R,20,30,0
281,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,CRAWD3,R,30,40,0
282,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,CRAWD4,R,40,50,0
283,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,CRRDPI,R,50,60,0
284,PERLND,CROP-SEASPM,PWATER,CROP_STAGES,CRRDPF,R,60,70,0
285,PERLND,IRRIG-PARM1,PWATER,PARAMETERS,OPNID,C,0,10,None
286,PERLND,IRRIG-PARM1,PWATER,PARAMETERS,NSKED,I,10,15,0
287,PERLND,IRRIG-PARM1,PWATER,PARAMETERS,SZONFG,I,15,20,0
288,PERLND,IRRIG-PARM1,PWATER,PARAMETERS,VCRDFG,I,20,25,0
289,PERLND,IRRIG-PARM1,PWATER,PARAMETERS,VAWDFG,I,25,30,0
290,PERLND,IRRIG-PARM1,PWATER,PARAMETERS,IROPFG,I,30,35,0
291,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,OPNID,C,0,10,None
292,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,IRAREA,R,10,18,0
293,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,IREFF,R,18,26,1
294,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,ARZI,R,26,34,1
295,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,WILTP,R,34,42,0
296,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,FLDCAP,R,42,50,0
297,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,CRDEP,R,50,58,0
298,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,IRAWD,R,58,66,0
299,PERLND,IRRIG-PARM2,PWATER,PARAMETERS,CAPRIS,R,66,74,6
300,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,OPNID,C,0,10,None
301,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,XPRIOR,R,10,20,0
302,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,XFRAC,R,20,30,1
303,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,GPRIOR,R,30,40,0
304,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,GFRAC,R,40,50,1
305,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,RPRIOR,R,50,60,0
306,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,RFRAC,R,60,70,1
307,PERLND,IRRIG-SOURCE,PWATER,PARAMETERS,IRCHNO,R,70,80,0
308,PERLND,IRRIG-TARGET,PWATER,PARAMETERS,OPNID,C,0,10,None
309,PERLND,IRRIG-TARGET,PWATER,PARAMETERS,IRCPFR,R,10,20,0
310,PERLND,IRRIG-TARGET,PWATER,PARAMETERS,IRSUFR,R,20,30,0
311,PERLND,IRRIG-TARGET,PWATER,PARAMETERS,IRUPFR,R,30,40,0
312,PERLND,IRRIG-TARGET,PWATER,PARAMETERS,IRLOFR,R,40,50,0
313,PERLND,IRRIG-TARGET,PWATER,PARAMETERS,IRGWFR,R,50,60,0
314,PERLND,IRRIG-SCHED,PWATER,PARAMETERS,OPNID,C,0,13,None
315,PERLND,IRRIG-SCHED,PWATER,PARAMETERS,IRYR1,R,13,18,0
316,PERLND,IRRIG-SCHED,PWATER,PARAMETERS,IRMO1,R,18,21,1
317,PERLND,IRRIG-SCHED,PWATER,PARAMETERS,IRDY1,R,21,24,1
318,PERLND,IRRIG-SCHED,PWATER,PARAMETERS,IRHR1,R,24,27,0
319,PERLND,IRRIG-SCHED,PWATER,PARAMETERS,IRMI1,R,27,29,0
